1. A) ఎఫెసు, B) కొరింథు, C) అంతియొకయ, D) గలతీయ (B)
2. A) లేవి, B) బెన్యామీను, C) పొంతు, D) యూదా (C)
3. A) మరియ, B) మార్త, C) సప్ఫీరా, D) ప్రిస్కిల్ల (D)
4. A) నెరో, B) కేసరు, C) క్లౌదియ, D) హెరోదు (C)
5. A) పాత, B) క్రొత్త, C) దాసులు, D) సైనికులు (B)
6. A) బట్టలు, B) వలలు, C) డేరాలు, D) చెప్పులు (C)
7. A) చేపలు పట్టే వృత్తి, B) వడ్రంగి వృత్తి, C) డేరాలు కుట్టేవృత్తి, D) వ్యవసాయ వృత్తి (C)
8. A) సోమవారమున, B) విశ్రాంతిదినమున, C) ప్రార్థన దినమున, D) పండుగ దినమున (B)
9. A) సమరయులను, B) ఐగుప్తీయులను, C) రోమీయులను, D) గ్రీసు దేశస్థులను (D)
10. A) తిమోతి, B) లూకా, C) తీతు, D) బర్నబా (A)
11. A) ప్రవక్త, B) బోధకుడు, C) క్రీస్తు, D) రాజు (C)
12. A) చేతులు, B) వస్త్రములు, C) పాదములు, D) తల (B)
13. A) రోమీయులే, B) నేనే, C) ప్రవక్తలే, D) మీరే (D)
14. A) యూదుల, B) అన్యజనుల, C) యాజకుల, D) పరిసయ్యుల (B)
15. A) సిమ్యోను, B) కొర్నేలియు, C) తీతియు యూస్తు, D) అగబు (C)
16. A) రాజుగారి కోటకు, B) సమాజమందిరమును, C) చెరసాలకు, D) దేవాలయమునకు (B)
17. A) క్రిస్పు, B) గాయు, C) ఎరస్తు, D) సోస్తెనేసు (A)
18. A) ఆగిపోక, B) కోపపడక, C) భయపడక, D) రహస్యముగా (C)
19. A) గొప్ప కోట, B) శత్రువులు, C) బంగారము, D) బహు జనము (D)
20. A) మూడు సంవత్సరములు, B) నలభై రోజులు, C) ఒక సంవత్సరము ఆరు నెలలు, D) రెండు సంవత్సరములు (C)
21. A) ఇస్సాకును, B) అబ్రాహామును, C) యాకోబును, D) నోవహును (B)
22. A) కనాను దేశమునకు, B) ఐగుప్తు దేశమునకు, C) మోరీయా దేశమునకు, D) మిద్యాను దేశమునకు (C)
23. A) సమాధానబలిగా, B) దహనబలిగా, C) పాపపరిహారార్థబలిగా, D) నైవేద్యముగా (B)
24. A) తన ఒంటెకు, B) తన గుర్రమునకు, C) తన ఎద్దుకు, D) తన గాడిదకు (D)
25. A) నలుగురిని, B) ఇద్దరిని, C) ఐదుగురిని, D) పదిమందిని (B)
26. A) ఏడవ నాడు, B) మొదటి నాడు, C) మూడవ నాడు, D) ఐదవ నాడు (C)
27. A) తన పనివారి మీద, B) తన కుమారుడగు ఇస్సాకు మీద, C) గాడిద మీద, D) తన భుజము మీద (B)
28. A) నీళ్లను, కర్రను, B) కట్టెలను, త్రాడును, C) నిప్పును, కత్తిని, D) నూనెను, పాత్రను (C)
29. A) ఎద్దు, B) గొఱ్ఱపిల్ల, C) పొట్టేలు, D) పావురము (B)
30. A) పంపును, B) సిద్ధపరచును, C) చూచుకొనును, D) దాచును (C)
31. A) గుడారమును, B) కోటను, C) గోడను, D) బలిపీఠమును (D)
32. A) నేల మీద, B) రాయి మీద, C) పీఠముపైనున్న కట్టెలమీద, D) చాప మీద (C)
33. A) ఈటెను, B) కత్తిని, C) గొడ్డలిని, D) విల్లును (B)
34. A) మోషే, B) ఇస్సాకు, C) సారమ్మ, D) యెహోవా దూత (D)
35. A) కోపగించువాడవని, B) అర్పించువాడవని, C) భయపడువాడవని, D) ప్రార్థించువాడవని (C)
36. A) మేక, B) పొట్టేలు, C) ఆవు, D) జింక (B)
37. A) గొఱ్ఱపిల్లను, B) దూడను, C) పొట్టేలును, D) గువ్వను (C)
38. A) యెహోవా నిస్సి, B) యెహోవా యీరే, C) యెహోవా శాలేము, D)  బెతేలు (B)
39. A) ప్రార్థింతురు, B) బలి అర్పింతురు, C) చూచుకొనును, D) దిగివచ్చును (C)
40. A) మొదటి, B) మూడవ, C) నాల్గవ, D) రెండవ (D)
41. A) సప్ఫీరా, B) అననీయ, C) సీల, D) బర్నబా (B)
42. A) దాసుడా, B) ప్రవక్తా, C) అననీయా, D) నా కుమారుడా (C)
43. A) విశాలమైన వీధి, B) పాత వీధి, C) తిన్ననిదనబడిన వీధి, D) తూర్పు వీధి (C)
44. A) సీమోను ఇంటికి, B) యూదా అనువాని ఇంటికి, C) లూకా ఇంటికి, D) పౌలు ఇంటికి (B)
45. A) యెరూషలేమువాడు, B) అంటియొకయవాడు, C) నజరేతువాడు, D) తార్సువాడు (D)
46. A) నిద్రపోవుచున్నాడు, B) ప్రార్థన చేయుచున్నాడు, C) భోజనము చేయుచున్నాడు, D) గ్రంథము చదువుచున్నాడు (B)
47. A) పేతురు, B) ఒక దేవదూత, C) అననీయ అను మనుష్యుడు, D) యోహాను (C)
48. A) సమరయలో, B) గలిలయలో, C) యాఫాలో, D) యెరూషలేములో (D)
49. A) రోమా ప్రభుత్వము వలన, B) హేరోదు రాజు వలన, C) ప్రధానయాజకుల వలన, D) సమాజమందిరపు అధికారుల వలన (C)
50. A) తన సొంత నామమును, B) ప్రభువు నామమును, C) పరిసయ్యుల నామమును, D) ధర్మశాస్త్రము నామమును (B)
51. A) పరిసయ్యుల, B) ఇశ్రాయేలీయుల, C) లేవీయుల, D) సద్దూకయ్యుల (B)
52. A) సుఖములను, B) ఘనతను, C) శ్రమలను, D) ఐశ్వర్యమును (C)
53. A) తార్సు వాడా, B) దేవుని శత్రువా, C) పాపియా, D) సౌలా, సహోదరుడా (D)
54. A) మోషేను, B) ఏలీయాను, C) प्रभुవైన యేసును, D) దేవదూతను (C)
55. A) జ్ఞానముతో, B) పరిశుద్ధాత్మతో, C) ధైర్యముతో, D) సంతోషముతో (B)
56. A) కన్నీళ్లు, B) రక్తం, C) పొరలవంటివి, D) ఇసుక (C)
57. A) శక్తి, B) జ్ఞానము, C) శాంతి, D) दृष्टि (D)
58. A) బాప్తిస్మము, B) ఆహారము, C) బహుమతి, D) అధికారము (A)
59. A) పానీయమును, B) వాక్యమును, C) ఆహారమును, D) రొట్టెను (C)
60. A) స్వస్థత పొందునట్లు, B) దృష్టి పొందునట్లు, C) పరిశుద్ధాత్మ పొందునట్లు, D) దీవెన పొందునట్లు (B)
61. A) తన తల్లిదండ్రులకు, B) రాజుగారికి, C) తన స్నేహితులకు, D) మంత్రులకు (C)
62. A) అజర్యా, B) హనన్యా, C) మిషాయేలు, D) నెబుకద్నెజరు (B)
63. A) హనన్యా, B) అజర్యా, C) బేల్తెషాజరు, D) మిషాయేలు (D)
64. A) హనన్యా, B) మిషాయేలు, C) అజర్యా, D) దర్యావేషు (C)
65. A) యెరూషలేము, B) బబులోను, C) పారసీక, D) ఐగుప్తు (B)
66. A) సంపద, B) కలయొక్క మర్మము, C) దీర్ఘాయువు, D) జ్ఞానము (B)
67. A) నెబుకద్నెజరు రాజును, B) బబులోను దేవతలను, C) ప్రధానులను, D) పరలోకమందున్న దేవుని (D)
68. A) పగటియందు, B) ఉదయకాలమున, C) రాత్రియందు, D) సాయంత్రమున (C)
69. A) కల ద్వారా, B) ఒక దూత ద్వారా, C) దర్శనముచేత, D) ఆకాశవాణి ద్వారా (C)
70. A) రాజును, B) తన స్నేహితులను, C) సైన్యాధిపతిని, D) పరలోకమందున్న దేవుని (D)
71. A) ఐశ్వర్యము, ఘనత, B) జ్ఞానబలములు, C) కరుణ, వాత్సల్యము, D) కోపము, న్యాయము (B)
72. A) రాజు నామము, B) దానియేలు నామము, C) దేవుని నామము, D) దేవదూత నామము (C)
73. A) ఆపువాడై, B) మార్చువాడై, C) సృష్టించువాడై, D) మరుచువాడై (B)
74. A) చంపుచున్నవాడు, B) శిక్షించుచున్నవాడు, C) నియమించుచున్నవాడు, D) హెచ్చరించుచున్నవాడు (C)
75. A) రాజులకు, B) వివేకులకు, C) జ్ఞానులకు, D) ధనికులకు (B)
76. A) ఐశ్వర్యమును, B) బలమును, C) కీర్తిని, D) జ్ఞానమును (D)
77. A) శత్రువులను, మిత్రులను, B) భూమిని, ఆకాశమును, C) మరుగుమాటలను, మర్మములను, D) పాపమును, పుణ్యమును (C)
78. A) వెలుగులోని, B) పరలోకములోని, C) అంధకారములోని, D) సмуద్రములోని (C)
79. A) సూర్యుని యొద్ద, B) రాజు యొద్ద, C) మనుష్యుల యొద్ద, D) దేవుని యొద్ద (D)
80. A) జ్ఞానము పొందు నిమిత్తమై, B) కటాక్షము పొందు నిమిత్తమై, C) విడుదల పొందు నిమిత్తమై, D) బహుమతి పొందు నిమిత్తమై (B)
81. A) 70 మందిని, B) 120 మందిని, C) 100 మందిని, D) 150 మందిని (B)
82. A) ఇద్దరిని, B) నలుగురిని, C) ముగ్గురిని, D) ఐదుగురిని (C)
83. A) హనన్యా, B) అజర్యా, C) మిషాయేలు, D) దానియేలు (D)
84. A) సామాన్యమైన బుద్ధి, B) అతిశ్రేష్ఠమైన బుద్ధి, C) లోకసంబంధమైన బుద్ధి, D) కుటిలమైన బుద్ధి (B)
85. A) అతని ఆహార విషయములో, B) రాజ్యపాలన విషయములో, C) అతని ప్రార్థన విషయములో, D) అతని వంశ విషయములో (B)
86. A) అతడు రాజుకు బంధువు గనుక, B) అతడు భయపడ్డాడు గనుక, C) అతడు నమ్మకస్థుడు గనుక, D) అతడు జ్ఞాని గనుక (C)
87. A) అతని రాజ్యపాలన విషయమందే, B) అతని నడక విషయమందే, C) అతని దేవుని పద్ధతి విషయమందే, D) అతని స్నేహితుల విషయమందే (C)
88. A) 7 దినముల వరకు, B) 40 దినముల వరకు, C) 30 దినముల వరకు, D) 10 దినముల వరకు (C)
89. A) అగ్నిగుండములో, B) సింహముల గుహలో, C) చెరసాలలో, D) సముద్రములో (B)
90. A) ఐగుప్తీయుల, బబులోనీయుల, B) మాదీయుల, పారసీకుల, C) యూదుల, రోమీయుల, D) గ్రీసు, అష్షూరు (B)
